"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2014","Latvia","Thousand tonnes","57,039",""
"2014","Lithuania","Thousand tonnes","49,000",""
"2014","Luxembourg","Thousand tonnes","4,573",""
"2014","Hungary","Thousand tonnes","50,593",""
"2014","Malta","Thousand tonnes",":","z"
"2014","Netherlands","Thousand tonnes","39,367",""
"2014","Austria","Thousand tonnes","100,267",""
"2014","Poland","Thousand tonnes","227,820",""
"2014","Portugal","Thousand tonnes","10,276",""
"2014","Romania","Thousand tonnes","50,739",""
"2014","Slovenia","Thousand tonnes","17,989",""
"2014","Slovakia","Thousand tonnes","50,997",""
"2014","Finland","Thousand tonnes","37,008",""
"2014","Sweden","Thousand tonnes","68,035",""
"2014","United Kingdom","Thousand tonnes","108,531",""
"2014","Liechtenstein","Thousand tonnes",":","c"
"2014","Norway","Thousand tonnes","33,393",""
"2014","Switzerland","Thousand tonnes","65,375",""
"2014","Montenegro","Thousand tonnes","903",""
"2014","North Macedonia","Thousand tonnes","2,377",""
"2014","Turkey","Thousand tonnes","26,764",""
"2014","Bosnia and Herzegovina","Thousand tonnes","13,506",""
"2015","Belgium","Thousand tonnes",":","c"
"2015","Bulgaria","Thousand tonnes","14,635",""
"2015","Czechia","Thousand tonnes","97,280",""
"2015","Denmark","Thousand tonnes","8,652",""
"2015","Germany (until 1990 former territory of the FRG)","Thousand tonnes","367,314",""
"2015","Estonia","Thousand tonnes","28,026",""
"2015","Ireland","Thousand tonnes","540",""
"2015","Greece","Thousand tonnes","1,404",""
"2015","Spain","Thousand tonnes","28,960",""
"2015","France","Thousand tonnes","95,545",""
"2015","Croatia","Thousand tonnes","9,939",""
"2015","Italy","Thousand tonnes","92,273",""
"2015","Cyprus","Thousand tonnes",":","z"
"2015","Latvia","Thousand tonnes","55,645",""
"2015","Lithuania","Thousand tonnes","48,053",""
"2015","Luxembourg","Thousand tonnes","5,207",""
"2015","Hungary","Thousand tonnes","50,333",""
"2015","Malta","Thousand tonnes",":","z"
"2015","Netherlands","Thousand tonnes","41,721",""
"2015","Austria","Thousand tonnes","100,163",""
"2015","Poland","Thousand tonnes","224,320",""
"2015","Portugal","Thousand tonnes","11,108",""
"2015","Romania","Thousand tonnes","55,306",""
"2015","Slovenia","Thousand tonnes","17,832",""
"2015","Slovakia","Thousand tonnes","47,358",""
"2015","Finland","Thousand tonnes","33,392",""
"2015","Sweden","Thousand tonnes","64,999",""
"2015","United Kingdom","Thousand tonnes","96,821",""
"2015","Liechtenstein","Thousand tonnes",":","c"
"2015","Norway","Thousand tonnes","31,585",""
