"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","Montenegro","Thousand passengers","1,236",""
"2015","North Macedonia","Thousand passengers","1,022",""
"2015","Turkey","Thousand passengers","95,318",""
"2015","Bosnia and Herzegovina","Thousand passengers","512",""
"2016","Belgium","Thousand passengers",":","c"
"2016","Bulgaria","Thousand passengers","21,425",""
"2016","Czechia","Thousand passengers","178,766",""
"2016","Denmark","Thousand passengers","211,399",""
"2016","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,813,782",""
"2016","Estonia","Thousand passengers","6,926",""
"2016","Ireland","Thousand passengers","42,820",""
"2016","Greece","Thousand passengers","15,582",""
"2016","Spain","Thousand passengers","575,572",""
"2016","France","Thousand passengers","1,236,523",""
"2016","Croatia","Thousand passengers","20,709",""
"2016","Italy","Thousand passengers","869,199",""
"2016","Cyprus","Thousand passengers",":","z"
"2016","Latvia","Thousand passengers","17,228",""
"2016","Lithuania","Thousand passengers","3,916",""
"2016","Luxembourg","Thousand passengers","22,459",""
"2016","Hungary","Thousand passengers",":","c"
"2016","Malta","Thousand passengers",":","z"
"2016","Netherlands","Thousand passengers",":","c"
"2016","Austria","Thousand passengers","286,990",""
"2016","Poland","Thousand passengers","285,094",""
"2016","Portugal","Thousand passengers","133,472",""
"2016","Romania","Thousand passengers","64,455",""
"2016","Slovenia","Thousand passengers","13,650",""
"2016","Slovakia","Thousand passengers","69,150",""
"2016","Finland","Thousand passengers","82,114",""
"2016","Sweden","Thousand passengers","220,945",""
"2016","United Kingdom","Thousand passengers","1,772,563",""
"2016","Liechtenstein","Thousand passengers",":","c"
"2016","Norway","Thousand passengers","74,293",""
"2016","Switzerland","Thousand passengers","606,212",""
"2016","Montenegro","Thousand passengers","1,285",""
"2016","North Macedonia","Thousand passengers","663",""
"2016","Turkey","Thousand passengers","89,038",""
"2016","Bosnia and Herzegovina","Thousand passengers","418",""
"2017","Belgium","Thousand passengers",":","c"
"2017","Bulgaria","Thousand passengers","21,195",""
"2017","Czechia","Thousand passengers","182,724",""
"2017","Denmark","Thousand passengers","206,566",""
"2017","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,831,443",""
"2017","Estonia","Thousand passengers","7,433",""
"2017","Ireland","Thousand passengers","45,505",""
"2017","Greece","Thousand passengers","15,359",""
